;Provincia de ubicación;Clase de establecimiento;Tipo de establecimiento;Entidad;Sector del establecimento;Medicina interna Dotación Normal total;Medicina interna Disponibles;Cirugía Dotación Normal total;Cirugía Disponibles;Ginecología y Obstetricia Dotación Normal total;Ginecología y Obstetricia Disponibles;Pediatría Dotación Normal total;Pediatría Disponibles;Cardiología Dotación Normal total;Cardiología Disponibles;Neumología Dotación Normal total;Neumología Disponibles;Psiquiatría Dotación Normal total;Psiquiatría Disponibles;Traumatología Dotación Normal total;Traumatología Disponibles;Infectología Dotación Normal total;Infectología Disponibles;Urología Dotación Normal total;Urología Disponibles;Gastroenterología Dotación Normal total;Gastroenterología Disponibles;Otros Servicios (Especifique) Dotación Normal total;Otros Servicios (Especifique) Disponibles;Servicios Indiferenciados Dotación Normal total;Servicios Indiferenciados Disponibles;Total Dotación normal;Total Camas Disponibles;Camas de emergencia;Camas de cuidados intensivos adultos;Dias de estada;Días-cama disponibles;Total de egresos hospitalarios;Fallecidos en menos de 48 horas;Fallecidos en más de 48 horas;año
0;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;37;50;43;4;3;8884;15695;2865;3;6;2008
1;AZUAY;Hospital general;Agudo;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;22;22;22;0;0;3281;8030;1832;2;5;2008
2;AZUAY;Hospital de especialidades;Agudo;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;42;51;42;2;7;7382;15330;2954;7;8;2008
3;AZUAY;Hospital general;Agudo;Ministerio de Salud Pública;Público;61;35;65;32;51;44;83;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277;176;12;5;55224;64240;13026;96;272;2008
4;AZUAY;Hospital de especialidades;Agudo;Instituto Ecuatoriano de Seguridad Social ;Público;33;33;24;24;20;20;26;26;8;8;9;9;0;0;27;27;6;6;12;12;6;6;13;13;7;7;208;194;7;7;42857;70810;8029;28;173;2008
5;AZUAY;Hospital general;Agudo;Ministerio de Defensa Nacional;Público;16;16;12;12;1;1;9;9;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;47;43;2;2;4343;15695;1272;2;8;2008
6;AZUAY;Dermatológico (Leprocomios);Crónico;Ministerio de Salud Pública;Público;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;0;0;10;8;0;0;9862;2920;1;0;1;2008
7;AZUAY;Psiquiátrica;Crónico;Privados sin fines de lucro;Privado sin Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;29;29;0;0;0;0;0;0;0;0;43;43;0;0;72;72;0;0;15254;26280;382;0;1;2008
8;AZUAY;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;6;6;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;2456;5475;812;1;1;2008
9;AZUAY;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;9;9;6;6;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;0;0;6007;9125;2043;7;14;2008
10;AZUAY;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;6;6;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;3552;5475;1260;5;4;2008
11;AZUAY;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;8;8;2;2;3;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;0;0;3869;6570;1306;8;7;2008
12;AZUAY;Hospital básico;Sin tipo hospitales básicos;Ministerio de Salud Pública;Público;6;6;4;4;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;4109;5475;1610;2;2;2008
13;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;16;16;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;38;34;2;2;2211;12410;1292;5;5;2008
14;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;7;7;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;18;17;1;0;1333;6205;832;0;2;2008
15;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;23;17;4;2;1638;6205;919;0;2;2008
16;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;0;0;985;4015;535;1;0;2008
17;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;16;16;0;0;2593;5840;1751;2;0;2008
18;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados sin fines de lucro;Privado sin Fines de Lucro;5;5;5;5;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;8;26;26;0;0;1795;9490;953;0;2;2008
19;AZUAY;Clínica general (sin especialidad);Clínicas generales sin especialidad;Privados con fines de lucro;Privado con Fines de Lucro;4;4;4;4;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;1260;4015;852;4;2;2008
